キャリア,機種名,ニックネーム,メーカー（ロゴ）,メーカー（社名）,発売日,通信方式,プロセッサ,RAM,ROM,質量[g],画面サイズ（インチ）,ディスプレイ種別,画面解像度（縦×横）,液晶最大表示色数,ハードウェアキー,テザリング,赤外線,GPS,電子コンパス,非接触充電（ワイヤレス給電/おくだけ充電）,ワンセグ,マルチメディア放送（モバキャス）,3D,防水,データ更新日,,,,,,,,,,,,
au,A01,INFOBAR,SHARP,シャープ,2011/6/30,WIN HIGH SPEED,Qualcomm Snapdragon MSM8655T 1.4GHz,512MB,2GB,113,3.7,NewモバイルASV液晶,960×540,"262,144",-,N,Y,Y,Y,N,Y,N,N,N,2011/7/11,,,,,,,,,,,,
au,A02,INFOBAR,HTC,HTC NIPPON,2013/2/15,WIN HIGH SPEED,Qualcomm Snapdragon MDM9615 + APQ8064 1.5GHz,1GB,16GB,147,4.7,Super LCD3,1280×720,"16,777,216",-,Y,Y,Y,Y,Y,Y,N,N,Y,2013/2/18,,,,,,,,,,,,
au,A03,INFOBAR,KYOCERA,京セラ,2015/2/20,-,MSM8974AB　2.3GHz（Quad Core）,2GB,16GB,130,4.5,TFT液晶,1920×1080,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2015/11/2,,,,,,,,,,,,
au,C01,INFOBAR,SHARP,シャープ,2012/2/3,WIN HIGH SPEED,Qualcomm Snapdragon MSM8655 1.4GHz,-,-,106,3.2,TFT液晶,854×480,"262,114",T,N,Y,Y,Y,N,Y,N,N,N,2012/2/9,,,,,,,,,,,,
au,CAL21,G'zOne TYPE-L,CASIO,カシオ計算機/NECカシオモバイルコミュニケーションズ,2012/11/2,WIN HIGH SPEED,Qualcomm Snapdragon MSM8960 1.5GHz,1GB,8GB,181,4,IPS液晶,800×480,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2012/11/5,,,,,,,,,,,,
au,E30HT,-,HTC,HTC NIPPON,2009/9/11,CDMA 1X WIN,Qualcomm MSM7500 400MHz,256MB,512MB,154,2.8,TFT液晶,640×480,"65,536",Q,N,N,Y,N,N,N,N,N,N,2011/11/4,,,,,,,,,,,,
au,EIS01PT,-,PANTECH,Pantech Wireless Japan,2011/9/20,WIN HIGH SPEED,Qualcomm Snapdragon MSM8655 1GHz,512MB,1GB,123,3.7,TFT液晶,800×480,"16,777,216",-,N,Y,Y,Y,N,N,N,N,Y,2013/5/28,,,,,,,,,,,,
au,FJL21,ARROWS ef,FUJITSU,富士通モバイルコミュニケーションズ,2012/11/2,WIN HIGH SPEED,Qualcomm Snapdragon MSM8960 1.5GHz,1GB,8GB,139,4.3,TFT液晶,1280×720,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2012/11/5,,,,,,,,,,,,
au,FJL22,ARROWS Z,FUJITSU,富士通モバイルコミュニケーションズ,2013/11/22,WIN HIGH SPEED,MSM8974 2.2GHz （Quad Core）,2GB,32GB,149,5,TFT液晶,1920×1080,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2013/11/26,,,,,,,,,,,,
au,HTL21,HTC J butterfly,HTC,HTC NIPPON,2012/12/9,WIN HIGH SPEED,Qualcomm Snapdragon MDM9615 + APQ8064 1.5GHz,2GB,16GB,140,5,Super LCD3,1920×1080,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2015/6/8,,,,,,,,,,,,
