ニックネーム,最大クロック数(GHz),CPUコア数,RAM,ROM,質量[g],画面サイズ（インチ）,画面解像度（縦）,画面解像度（横）,本体厚さ,非接触充電（ワイヤレス給電/おくだけ充電）,ワンセグ,iOS,Android,価格,外カメラ画素数,内カメラ画素数,バッテリー容量,シェア率
Xperia XZ3,2.8,8,4 ,64,193,6,2880,1440,9.9,1,1,0,1,93312,1920,1320,3200,6.25
AQUOS sense2,1.8,8,3 ,32,155,5.5,2160,1080,8.4,0,0,0,1,31752,1200,800,2700,6.3
AQUOS R2,2.6,8,4 ,64,181,6,3040,1440,9,0,1,0,1,90720,2260,1630,3130,6.3
Galaxy Note9,2.8,8,6 ,128,201,6.4,2960,1440,8.8,1,1,0,1,121176,1220,800,4000,2.95
iPhone X,2.4,6,3 ,64,174,5.8,2436,1125,7.7,1,0,1,0,119880,1200,700,2716,24.95
iPhone XR,2.49,6,3 ,64,194,6.1,1792,828,8.3,1,0,1,0,93312,1200,700,2942,24.95
Xperia XZ2 Compact,2.8,8,4 ,64,168,5,2160,1080,12.1,0,1,0,1,73872,1920,500,2760,6.25
Galaxy Feel2,2.2,8,4 ,32,168,5.6,1480,720,8.4,0,1,0,1,42120,1600,1600,3000,2.95
arrows Be,1.8,8,3 ,32,146,5,1280,720,8.3,0,1,0,1,33696,1220,500,2580,2.7
arrows NX,2.2,8,4 ,32,154,5.2,1080,1920,8.1,0,1,0,1,88128,2300,500,2580,2.7
