,ios,RAM,out_camera,width,,
iPhone XR,0.833333333,-0.5,-0.339285714,-0.485347985,,
Xperia XZ3,-0.166666667,-0.166666667,-0.082142857,0.075091575,,
AQUOS R2,-0.166666667,-0.166666667,0.039285714,0.075091575,,
Galaxy Note9,-0.166666667,0.5,-0.332142857,0.075091575,,
arrows NX,-0.166666667,-0.166666667,0.053571429,0.514652015,,
HUAWEI P20 Pro,-0.166666667,0.5,0.660714286,-0.254578755,,
,,,,,,
åWêî,0.32960518,-0.244887,-0.199049,-0.19765,êÑíËíl,é¿ë™íl
iPhone XR,0.274670983,0.1224435,0.067534482,0.095929029,0.560577995,0.746453
Xperia XZ3,-0.054934197,0.0408145,0.016350454,-0.01484185,-0.012611093,-0.051845
AQUOS R2,-0.054934197,0.0408145,-0.007819782,-0.01484185,-0.036781329,-0.051845
Galaxy Note9,-0.054934197,-0.1224435,0.066112704,-0.01484185,-0.126106843,-0.188059
arrows NX,-0.054934197,0.0408145,-0.010663339,-0.101720971,-0.126504007,-0.201157
HUAWEI P20 Pro,-0.054934197,-0.1224435,-0.131514518,0.050317491,-0.258574724,-0.253547
